query_id,category,gold_doc,violating_doc,BM25,BGE,Contriever,BGE-TrainTriplets,CoDeR_v1,BGE-RetrievalTriplets,CoDeR_v2,BGE-AntsyncTriplets,CoDeR_v3,BGE-ExclusionTriplets,CoDeR_v4,NS-IR,HyDE
drug_q001,negation,drugdoc_01_gold,drugdoc_01_wrong,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
drug_q002,exclusion,drugdoc_02_gold,drugdoc_02_wrong,✗,✗,✗,✗,✗,✓,✗,✗,✗,✓,✗,✗,✗
drug_q003,negation,drugdoc_03_gold,drugdoc_03_wrong,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✓
drug_q004,antonym,drugdoc_04_gold,drugdoc_04_wrong,✗,✗,✗,✗,✗,✓,✓,✗,✗,✗,✓,✗,✗
drug_q005,exclusion,drugdoc_05_gold,drugdoc_05_wrong,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
drug_q006,negation,drugdoc_06_gold,drugdoc_06_wrong,✗,✗,✗,✗,✗,✓,✓,✗,✗,✓,✗,✗,✓
drug_q007,exclusion,drugdoc_07_gold,drugdoc_07_wrong,✗,✗,✗,✗,✗,✓,✗,✗,✗,✓,✗,✗,✗
drug_q008,negation,drugdoc_08_gold,drugdoc_08_wrong,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
drug_q009,antonym,drugdoc_09_gold,drugdoc_09_wrong,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
drug_q010,antonym,drugdoc_10_gold,drugdoc_10_wrong,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
drug_q011,exclusion,drugdoc_11_gold,drugdoc_11_wrong,✗,✗,✗,✗,✓,✓,✓,✓,✗,✓,✓,✓,✓
drug_q012,negation,drugdoc_12_gold,drugdoc_12_wrong,✗,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
drug_q013,exclusion,drugdoc_13_gold,drugdoc_13_wrong,✗,✗,✗,✗,✗,✓,✓,✓,✗,✓,✓,✓,✓
drug_q014,antonym,drugdoc_14_gold,drugdoc_14_wrong,✗,✗,✗,✗,✗,✓,✓,✓,✗,✓,✓,✓,✗
drug_q015,antonym,drugdoc_15_gold,drugdoc_15_wrong,✗,✗,✗,✗,✗,✓,✗,✓,✗,✓,✗,✗,✓
drug_q016,exclusion,drugdoc_16_gold,drugdoc_16_wrong,✗,✗,✗,✗,✗,✓,✓,✗,✗,✓,✓,✓,✓
drug_q017,negation,drugdoc_17_gold,drugdoc_17_wrong,✗,✗,✗,✓,✓,✓,✓,✓,✗,✓,✓,✓,✗
drug_q018,exclusion,drugdoc_18_gold,drugdoc_18_wrong,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
drug_q019,negation,drugdoc_19_gold,drugdoc_19_wrong,✗,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
drug_q020,antonym,drugdoc_20_gold,drugdoc_20_wrong,✗,✗,✗,✗,✓,✓,✓,✓,✗,✓,✓,✓,✗
